name,profile,skill,luck,teamwork,bodyText
바람,baram,5,2,3,응애 나 아기바람 바람같이 스근하게 게임하겠슴다
차차,chacha,4,3,4,재미는 보장합니다 저를 선택하세요
또윤또,ddoyoonddo,1,5,5,유잼과 도파민을 원하신다면 접니다
감자,gamza,3,5,2,저와 함께 한다면 연승을 할 수 있습니다. 야호!
끄윽취한당,ggeukchwihandang,4,3,1,뻐큐나드셔
규열,gyuyeol,3,2,5,저는 저를 버렸습니다. 이제 저는 없습니다. 치즈 운동회밖에 없습니다.
해양,haeyang,1,5,5,저를 뽑아주세요 ✨(⸝⸝⸝>🙏<⸝⸝⸝)✨
마늘빵,maneul,2,3,5,어느 팀에서도 잘 어울리고 참여할 수 있습니다~! 치즈체고
만설,manseul,3,2,4,그 어떤 곳에서도 평균적인 실력은 나온다고 생각합니다.
무송,moosong,2,3,4,이번 이벤트에서 제가 누군지 보여드릴게요
냉각수산,nenggaksoosan,3,4,4,☆환상의 똥꼬쇼☆ 뭔가 보여드리겠읍니다!
년필,nyunpil,4,2,4,게임 만들어본 놈이 하는 것도 잘하지 않을까요?
선,sun,3,2,5,총합 별이 10개~!
지재,zizae,4,1,4,안녕하세요 지재입니다. 같이 게임하면서 재밌게 놀아요~!
머건,mugun,3,3,3,멍! 아, 죄송합니다 주인님. 아직 팀도 안 정해졌는데 벌써 충성심이 새어나왔네요.
